Genes,g1,g10,g11,g12,g13,g14,g15,g16,g17,g18,g2,g3,g4,g5,g6,g7,g8,g9
g1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
g10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
g11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
g2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
g9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
